Page,Impressions,Clicks,CTR,Avg. position
http://propertymap.info/project/Paramount-Golf-Foreste-Sector-Chi-Greater-Noida,170,<10,-,31
http://propertymap.info/project/Amrapali-Kingswood-Noida-Extension-Noida,170,<10,-,24
http://propertymap.info/project/windsor-park-indirapuram-ghaziabad,170,<10,-,6.4
http://propertymap.info/project/raheja-revanta-nh-8-gurgaon,150,<10,-,32
http://propertymap.info/project/Gaur-City-II-Sector-16-Greater-Noida,150,<10,-,48
http://propertymap.info/project/supertech-ecociti-noida-expressway-noida,150,<10,-,10
http://propertymap.info/project/bellevue-avenue-indirapuram-ghaziabad,150,<10,-,7.4
http://propertymap.info/project/Pan-Oasis-FNG-Expressway-Noida,150,<10,-,20
http://propertymap.info/project/Amrapali-Spring-Meadows-Noida-Extension-Noida,150,<10,-,17
http://propertymap.info/project/Ceyane-Tower-Noida-Expressway-Noida,150,<10,-,2.5
http://propertymap.info/project/Earth-Gracia-Noida-Extension-Noida,150,<10,-,35
http://propertymap.info/project/Sikka-Kaamna-Greens-Noida-Expressway-Noida,110,<10,-,17
http://propertymap.info/project/Ajnara-Ambrosia-Sector-118-Noida,110,<10,-,6.1
http://propertymap.info/project/Ansal-Paradise-Crystal-Pari-Chowk-Greater-Noida,110,<10,-,17
http://propertymap.info/project/Ajnara-Integrity-Rajnagar-Extn-Ghaziabad,110,<10,-,16
http://propertymap.info/project/Grande-Noida-Expressway-Noida,110,<10,-,9.1
http://propertymap.info/project/BPTP-Terra-Sector-37D-Gurgaon,90,<10,-,10
http://propertymap.info/project/Supertech-New-Launch-Noida-Extension-Noida,90,<10,-,12
http://propertymap.info/project/Dreamland-The-Willows-Crossing-Republic-Ghaziabad,90,<10,-,1.0
http://propertymap.info/project/JM-Orchid-Sector-76-Noida,90,<10,-,19
http://propertymap.info/project/Aditya-Gold-Crest-Indirapuram-Ghaziabad,90,<10,-,2.9
http://propertymap.info/project/niho-scottish-garden-indirapuram-ghaziabad,90,<10,-,6.5
http://propertymap.info/project/Supertech-Supernova-Noida-Expressway-Noida,90,<10,-,21
http://propertymap.info/project/shipra-srishti-indirapuram-ghaziabad,90,<10,-,5.2
http://propertymap.info/project/Jaypee-Garden-Isles-Noida-Expressway-Noida,90,<10,-,22
http://propertymap.info/project/Amrapali-Princely-Estate-Sector-76-Noida,90,<10,-,12
http://propertymap.info/project/krishna-apra-gardens-indirapuram-ghaziabad,90,<10,-,4.3
http://propertymap.info/project/Stellar-MI-Citihomes-Omicron-3-Greater-Noida,90,<10,-,9.9
http://propertymap.info/project/Panchsheel-Pratishtha-Sector-75-Noida,90,<10,-,13
http://propertymap.info/project/Panchsheel-Hynish-Noida-Extension-Noida,90,<10,-,18
http://propertymap.info/project/Supertech-Grand-Circuit--Yamuna-Expressway,70,<10,-,38
http://propertymap.info/project/Ajnara-Daffodil-Noida-Expressway-Noida,70,<10,-,12
http://propertymap.info/project/vatika-premium-floors--gurgaon,70,<10,-,42
http://propertymap.info/project/orris-aster-court-premier-new-gurgaon-gurgaon,70,<10,-,7.9
http://propertymap.info/project/Gulshan-IKEBANA-Sector-143-Noida,70,<10,-,27
http://propertymap.info/project/GC-Grand-Indirapuram-Ghaziabad,70,<10,-,6.4
http://propertymap.info/project/Olive-County-Vasundhara-Ghaziabad,70,<10,-,8.0
http://propertymap.info/project/Unitech-Gardens-Mohali-Mohali-Chandigarh,60,<10,-,9.0
http://propertymap.info/project/Supertech-Livingston-Crossing-Republic-Ghaziabad,60,<10,-,6.9
http://propertymap.info/project/Unitech-New-Launch-Noida-Sector-117-Noida,60,<10,-,6.8
http://propertymap.info/project/Jaypee-Kasa-Isles-Noida-Expressway-Noida,60,<10,-,4.9
http://propertymap.info/project/apex-tower-sector-93a-noida,60,<10,-,23
http://propertymap.info/project/arocon-golf-ville-crossing-republic-ghaziabad,60,<10,-,3.3
http://propertymap.info/project/Unitech-WildFlower-Country-Anthea-Floors-Southern-Periphery-Road-Gurgaon,60,<10,-,2.7
http://propertymap.info/project/Aditya-Mega-City-Indirapuram-Ghaziabad,60,<10,-,10
http://propertymap.info/project/Arocon-Golf-Ville--Crossing-Republic-Ghaziabad,60,<10,-,3.2
http://propertymap.info/project/sikka-karmic-greens-aspire-sector-78-noida,60,<10,-,8.4
http://propertymap.info/project/divyansh-pratham-indirapuram-ghaziabad,60,<10,-,8.8
http://propertymap.info/project/Paramount-Orchid-Crossing-Republic-Ghaziabad,60,<10,-,2.7
http://propertymap.info/project/uni-homes-2-sector-117-noida,60,<10,-,4.1
http://propertymap.info/project/Lotus-Zing-Noida-Expressway-Noida,60,<10,-,32
http://propertymap.info/project/shubhkamna-tech-homes-noida-expressway-noida,60,<10,-,26
http://propertymap.info/project/supertech-renesa-noida-expressway-noida,60,<10,-,12
http://propertymap.info/project/Dream-Valley-Noida-Extension-Noida,60,<10,-,29
http://propertymap.info/project/ATS-Advantage-Indirapuram-Ghaziabad,60,<10,-,5.5
http://propertymap.info/builder/SSVS Builders & Developers,60,<10,-,1.9
http://propertymap.info/project/Kosmos-Heights-Noida-Expressway-Noida,50,<10,-,1.0
http://propertymap.info/Loan,50,<10,-,1.0
http://propertymap.info/project/Mahagun-Maestro-Sector-50-Noida,50,<10,-,3.6
http://propertymap.info/project/unnati-the-aranya-sector-119-noida,50,<10,-,11
http://propertymap.info/project/Shubhkamna-Loginn-Serviced-Apartments-Noida-Expressway-Noida,50,<10,-,1.0
http://propertymap.info/builder/TGB-Realcon-Pvt-Ltd,50,<10,-,1.0
http://propertymap.info/project/Centurian-Park-Noida-Extension-Noida,50,<10,-,18
http://propertymap.info/project/aditya-mega-city-indirapuram-ghaziabad,50,<10,-,5.4
http://propertymap.info/project/jm-orchid-sector-76-noida,50,<10,-,19
http://propertymap.info/project/clement-city-crossing-republic-ghaziabad,50,<10,-,1.0
http://propertymap.info/project/victory-ace-noida-expressway-noida,50,<10,-,25
http://propertymap.info/project/paras-irene-southern-periphery-road-gurgaon,50,<10,-,9.3
http://propertymap.info/project/Shubhkamna-Lords-Sector-79-Noida,50,<10,-,9.9
http://propertymap.info/project/Seven-Lamps-New-Gurgaon-Gurgaon,50,<10,-,15
http://propertymap.info/project/bptp-amstoria-chateau-villas-dwarka-expressway-gurgaon,50,<10,-,21
http://propertymap.info/project/sunworld--vanalika-noida-expressway-noida,50,<10,-,14
http://propertymap.info/project/world-residency-indirapuram-ghaziabad,50,<10,-,8.0
http://propertymap.info/project/Silicon-City-Sector-50-Noida,50,<10,-,36
http://propertymap.info/project/Ansals-Florus-Ville--NH-24-Ghaziabad,50,<10,-,1.0
http://propertymap.info/project/Amrapali-Terrace-Homes-Noida-Extension-Noida,35,<10,-,15
http://propertymap.info/project/Uni-Homes-3-Sector-113-Noida,35,<10,-,9.2
http://propertymap.info/project/Mahagun-Maple-Sector-50-Noida,35,<10,-,1.0
http://propertymap.info/project/Jasmine-Grove-NH-24-Ghaziabad,35,<10,-,6.2
http://propertymap.info/project/asg-apple-7-nh-24-ghaziabad,35,<10,-,1.6
http://propertymap.info/project/Eldeco-Magnolia-Park-Sector-119-Noida,35,<10,-,7.3
http://propertymap.info/project/SPS-Residency-Indirapuram-Ghaziabad,35,<10,-,1.3
http://propertymap.info/project/Mahagun-Mansion-Indirapuram-Ghaziabad,35,<10,-,19
http://propertymap.info/project/angel-jupiter-indirapuram-ghaziabad,35,<10,-,10
http://propertymap.info/project/jasmine-grove-nh-24-ghaziabad,35,<10,-,5.6
http://propertymap.info/project/Orange-County-Tower-16-Indirapuram-Ghaziabad,35,<10,-,2.7
http://propertymap.info/project/Eldeco-Sylvan-View-Sector-93A-Noida,35,<10,-,15
http://propertymap.info/project/ramprastha-skyz-dwarka-expressway-gurgaon,35,<10,-,15
http://propertymap.info/builder/RG-Group,35,<10,-,3.9
http://propertymap.info/project/ATS-Triumph-Sector-104-Gurgaon,35,<10,-,13
http://propertymap.info/project/Sikka-Karmic-Greens-Aspire-Sector-78-Noida,35,<10,-,1.1
http://propertymap.info/project/gc-grand-indirapuram-ghaziabad,35,<10,-,3.4
http://propertymap.info/project/Gaur-City-II-Noida-Extension-Noida,35,<10,-,22
http://propertymap.info/project/ajnara-ambrosia-sector-118-noida,35,<10,-,8.9
http://propertymap.info/project/Prateek-Laurel-Sector-120-Noida,35,<10,-,16
http://propertymap.info/project/cosmic-italia--vasundhara-ghaziabad,35,<10,-,4.0
http://propertymap.info/project/Ansal-ASG-La-Casa-NH-24-Ghaziabad,30,<10,-,2.7
http://propertymap.info/project/Unitech-Harmony-Rajarhat-Kolkata,30,<10,-,10
http://propertymap.info/project/khatu-shyam-complex-nh-24-ghaziabad,30,<10,-,1.0
http://propertymap.info/project/yashica-heights-nh-24-ghaziabad,30,<10,-,6.8
http://propertymap.info/project/anmol-residency-gt-road-ghaziabad,30,<10,-,12
http://propertymap.info/project/SG-Benefit-Govind-Puram-Ghaziabad,30,<10,-,1.0
http://propertymap.info/project/panchsheel-wellington-crossing-republic-ghaziabad,30,<10,-,12
http://propertymap.info/project/voila-shourya-puram-nh-24-ghaziabad,30,<10,-,4.2
http://propertymap.info/project/Azalea-Opus-Point-Vasundhara-Ghaziabad,30,<10,-,1.0
http://propertymap.info/project/ATS-Allure-Yamuna-Expressway,30,<10,-,21
http://propertymap.info/project/imperia-esfera-dwarka-expressway-gurgaon,30,<10,-,22
http://propertymap.info/project/Wish-Town-Plots-Noida-Expressway-Noida,30,<10,-,5.6
http://propertymap.info/project/Amrapali-Castle-Chi-5-Greater-Noida,30,<10,-,4.4
http://propertymap.info/project/Paramount-City-Square-Noida-Extension-Greater-Noida,30,<10,-,2.0
http://propertymap.info/project/Shubhkamna-City-Noida-Extension-Noida,30,<10,-,8.7
http://propertymap.info/project/Nimbus-Express-Park-View-2-Yamuna-Expressway-Greater-Noida,30,<10,-,7.6
http://propertymap.info/project/kdp-mgi-city-rajnagar-extn-ghaziabad,30,<10,-,3.1
http://propertymap.info/project/Eldeco-Green-Meadows-Pari-Chowk-Greater-Noida,30,<10,-,4.0
http://propertymap.info/project/asg-flora-casa-nh-24-ghaziabad,30,<10,-,5.8
http://propertymap.info/project/parsvnath-exotica-mohan-nagar-ghaziabad,30,<10,-,23
http://propertymap.info/project/Hillsborough-Villa-Nandi-Hills-Bangalore,30,<10,-,1.0
http://propertymap.info/project/mahagun-maple-sector-50-noida,30,<10,-,1.0
http://propertymap.info/builder/Ajnara-India-Ltd,30,<10,-,1.0
http://propertymap.info/project/Kallisto-Townhomes-Noida-Expressway-Noida,30,<10,-,2.0
http://propertymap.info/project/shipra-krishna-vista--indirapuram-ghaziabad,22,<10,-,7.0
http://propertymap.info/project/Bharat-Residency-Indirapuram-Ghaziabad,22,<10,-,1.0
http://propertymap.info/project/sidhartha-ncr-green-pataudi-road-gurgaon,22,<10,-,2.6
http://propertymap.info/project/Ansals-Tanushree--NH-24-Ghaziabad,22,<10,-,3.1
http://propertymap.info/project/Amrapali-Village-II-Indirapuram-Ghaziabad,22,<10,-,1.7
http://propertymap.info/project/jaypee-kasa-isles-noida-expressway-noida,22,<10,-,7.8
http://propertymap.info/project/amara-towne-indirapuram-ghaziabad,22,<10,-,1.0
http://propertymap.info/project/assotech-celeste-towers-sector-44-noida,22,<10,-,40
http://propertymap.info/project/Salarpuria-Sattva-Luxuria-Yeshwanthpur-Bangalore,22,<10,-,3.2
http://propertymap.info/project/kosmos-heights-noida-expressway-noida,22,<10,-,1.0
http://propertymap.info/project/Ajnara-Landmark-Vaishali-Ghaziabad,22,<10,-,1.0
http://propertymap.info/project/Spire-Tech-Service-Apartment--Greater-Noida,22,<10,-,3.8
http://propertymap.info/project/Kensington-Heights-Noida-Expressway-Noida,22,<10,-,4.5
http://propertymap.info/project/asg-nexus--crossing-republic-ghaziabad,22,<10,-,1.0
http://propertymap.info/project/KW-Srishti-Phase-2-Rajnagar-Extn-Ghaziabad,16,<10,-,11
http://propertymap.info/project/Ansal-Aastha-Pari-Chowk-Greater-Noida,16,<10,-,1.0
http://propertymap.info/project/Lotus-Panache-Noida-Expressway-Noida,16,<10,-,1.0
http://propertymap.info/project/Lotus-City-Yamuna-Expressway,16,<10,-,12
http://propertymap.info/project/Emerald-Court--Sector-93A-Noida,16,<10,-,10
http://propertymap.info/project/Exotica-East-Square-Indirapuram-Ghaziabad,16,<10,-,1.0
http://propertymap.info/project/Prajay-Megapolis-Kukatpally-Hyderabad,16,<10,-,3.5
http://propertymap.info/project/Globe-Ville-Sriperumbudur-Chennai,16,<10,-,2.5
http://propertymap.info/project/Hind-Residency--NH-24-Ghaziabad,16,<10,-,1.0
http://propertymap.info/project/Ansal-Aastha-Pride-Pari-Chowk-Greater-Noida,16,<10,-,3.1
http://propertymap.info/project/sports-village-sector-78-noida,16,<10,-,15
http://propertymap.info/project/niho-marvel-indirapuram-ghaziabad,16,<10,-,1.0
http://propertymap.info/project/excel-heights--rajnagar-extn-ghaziabad,16,<10,-,1.0
http://propertymap.info/builder/Agarwal-Associates-Group,16,<10,-,2.8
http://propertymap.info/project/Kolte-Patil-Tuscan-Estate-Kharadi-Pune,16,<10,-,20
http://propertymap.info/project/srb-orchid-avenue-vaishali-ghaziabad,16,<10,-,1.0
http://propertymap.info/project/Bharat-Heights-Indirapuram-Ghaziabad,16,<10,-,1.0
http://propertymap.info/project/Yashaswini-Apartment-Rajnagar-Extn-Ghaziabad,16,<10,-,1.0
http://propertymap.info/project/Kensington-Boulevard-Noida-Expressway-Noida,16,<10,-,24
http://propertymap.info/project/Paramount-Panorama-Crossing-Republic-Ghaziabad,16,<10,-,1.0
http://propertymap.info/project/Logix-Neo-World-Express-Way-Noida,16,<10,-,8.4
http://propertymap.info/project/Kingwood-Court-Crossing-Republic-Ghaziabad,16,<10,-,1.0
http://propertymap.info/project/sanchar-nest-palm-nh-24-ghaziabad,16,<10,-,3.8
http://propertymap.info/project/Victory-Ace-Noida-Expressway-Noida,16,<10,-,48
http://propertymap.info/project/Amrapali-Leisure-Vally-Noida-Extension-Greater-Noida,16,<10,-,31
http://propertymap.info/project/Arun-Excello-Temple-Green-Sriperumbudur-Chennai,12,<10,-,11
http://propertymap.info/project/Gardenia-Square-II-Crossing-Republic-Ghaziabad,12,<10,-,1.8
http://propertymap.info/project/Gaur-Cascades-Rajnagar-Extn-Ghaziabad,12,<10,-,7.3
http://propertymap.info/project/kensington-park-plot-phase-ii-sector-128-noida,12,<10,-,1.0
http://propertymap.info/project/Antriksh-Sanskriti-NH-24-Ghaziabad,12,<10,-,17
http://propertymap.info/project/gpl-eden-heights-ii-golf-course-extn-road-gurgaon,12,<10,-,15
http://propertymap.info/project/Ajnara-Vice-Royale--Yamuna-Expressway,12,<10,-,5.5
http://propertymap.info/map,12,<10,-,1.0
http://propertymap.info/project/Vasavi-Thazham-OMR-IT-Corridor-Chennai,12,<10,-,1.0
http://propertymap.info/project/kbs-enclave-rajnagar-extn-ghaziabad,12,<10,-,1.0
http://propertymap.info/project/Amrapali-Village-Indirapuram-Ghaziabad,12,<10,-,2.4
http://propertymap.info/project/Amrapali-Elden-Park-Sector-50-Noida,12,<10,-,1.0
http://propertymap.info/project/aditya-luxuria-estate-indirapuram-ghaziabad,12,<10,-,1.0
http://propertymap.info/project/saviour-iris-indirapuram-ghaziabad,12,<10,-,1.0
http://propertymap.info/project/alpha-residency-indirapuram-ghaziabad,12,<10,-,1.0
http://propertymap.info/project/ATS-Kocoon-Sector-109-Gurgaon,12,<10,-,1.0
http://propertymap.info/project/Bhartiya-City-Thanisandra-Main-Road-Nikoo-Homes,12,<10,-,48
http://propertymap.info/project/Defence-Mega-City-GT-Road-Ghaziabad,12,<10,-,1.0
http://propertymap.info/project/IIDL-Apartments-Indirapuram-Ghaziabad,12,<10,-,11
http://propertymap.info/project/Hiranandani-Lakeside-Banerghatta-Road-Bangalore,12,<10,-,2.5
http://propertymap.info/project/Unitech-Aranya-Yelahanka-Bangalore,12,<10,-,1.0
http://propertymap.info/project/34-pavilion-sector-34-noida,12,<10,-,1.0
http://propertymap.info/project/sidhartha-ncr-one-pataudi-road-gurgaon,12,<10,-,6.4
http://propertymap.info/project/Paramount-Symphony-Ghaziabad,12,<10,-,2.6
http://propertymap.info/project/Supreme-Palacio-Baner-Wakad-Area-Pune,12,<10,-,1.0
http://propertymap.info/project/Godrej-Garden-City-Chandolia-Ahmedabad,12,<10,-,15
http://propertymap.info/price-trend,12,<10,-,1.0
http://propertymap.info/project/amrapali-hanging-gardens-sector-107-noida,12,<10,-,1.0
http://propertymap.info/project/aashiyana-enclave-nh-24-ghaziabad,12,<10,-,4.3
http://propertymap.info/project/Aspen-Green-OMR-IT-Corridor-Chennai,12,<10,-,1.0
http://propertymap.info/project/Wadhwa-Palm-Beach-Residency-Vashi---Panvel-Mumbai,<10,<10,-,1.0
http://propertymap.info/project/Akshaya-Republic-Kovur-Chennai,<10,<10,-,7.0
http://propertymap.info/project/Brigade--Orchards-Value-Homes-Devanahalli-Bangalore,<10,<10,-,9.3
http://propertymap.info/project/Prestige-Garden-Bay-Yelahanka-Bangalore,<10,<10,-,31
http://propertymap.info/project/arocon-golf-ville--crossing-republic-ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/Klassic-Noida-Expressway-Noida,<10,<10,-,1.0
http://propertymap.info/project/Commanders'-Aeroview-Devanahalli-Bangalore,<10,<10,-,1.0
http://propertymap.info/project/Applewoods-Township-Sardar-Patel-Ring-Road-Ahmedabad,<10,<10,-,1.0
http://propertymap.info/builder/Pashupati Builders & Developers,<10,<10,-,1.0
http://propertymap.info/project/ansal-aastha-pari-chowk-greater-noida,<10,<10,-,1.0
http://propertymap.info/project/Golf-Homes-Noida-Extension-Noida,<10,<10,-,1.0
http://propertymap.info/project/mahagun-majestic-indirapuram-ghaziabad,<10,<10,-,10
http://propertymap.info/project/Mahagun-Morpheus-Sector-50-Noida,<10,<10,-,1.0
http://propertymap.info/project/Verde-Valasaravakkam-Chennai,<10,<10,-,1.0
http://propertymap.info/project/Mahavir-Kalpavruksha-Thane-Mumbai,<10,<10,-,10
http://propertymap.info/project/knight-court-sector-128-noida,<10,<10,-,1.0
http://propertymap.info/project/Teerth-Aarohi-Residential-Township-Baner-Wakad-Area-Pune,<10,<10,-,1.0
http://propertymap.info/project/Chalet-Horamavu-Bangalore,<10,<10,-,1.0
http://propertymap.info/builder/Arpan-Group,<10,<10,-,1.0
http://propertymap.info/builder/Royal Homes Colonizers & Developers,<10,<10,-,1.0
http://propertymap.info/project/imperia-elvador-sector-37c-gurgaon,<10,<10,-,3.9
http://propertymap.info/project/Dream-Residency-Manor-Rajarhat-Kolkata,<10,<10,-,1.0
http://propertymap.info/project/Classic-Residency-II-Indirapuram-Ghaziabad,<10,<10,-,1.0
http://propertymap.info/builder/Nitishree-Infrastructure-Ltd,<10,<10,-,1.0
http://propertymap.info/builder/Anmol Developers Promoters & Builders,<10,<10,-,1.0
http://propertymap.info/project/Sare-Meadowville-OMR-IT-Corridor-Chennai,<10,<10,-,9.9
http://propertymap.info/builder/Oasis-Buildtech,<10,<10,-,1.0
http://propertymap.info/builder/AB Erectors & Properties Pvt Ltd,<10,<10,-,1.0
http://propertymap.info/project/Century-Avalon-Jakkur-Bangalore,<10,<10,-,3.2
http://propertymap.info/builder/Idea-Builders-Pvt-Ltd,<10,<10,-,1.0
http://propertymap.info/project/town-houses-new-gurgaon-gurgaon,<10,<10,-,1.0
http://propertymap.info/builder/Aarvanss-Infrastructure-Pvt-Ltd,<10,<10,-,1.0
http://propertymap.info/project/Smondoville-Electronic-City-Bangalore,<10,<10,-,1.0
http://propertymap.info/project/Mahagun-Majestic-Indirapuram-Ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/Ajnara-Enclave-Chander-Nagar-Ghaziabad,<10,<10,-,1.0
http://propertymap.info/builder/Samindia-Promoters-Pvt-Ltd,<10,<10,-,1.0
http://propertymap.info/builder/Aplomb Builders & Developers,<10,<10,-,1.0
http://propertymap.info/project/yashaswini-apartment-rajnagar-extn-ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/saviour-greenisle-crossing-republic-ghaziabad,<10,<10,-,1.0
http://propertymap.info/builder/KM-Group,<10,<10,-,1.0
http://propertymap.info/project/Navratan-Apartments-Andheri-East-Mumbai,<10,<10,-,1.0
http://propertymap.info/project/nirman-city--govind-puram-ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/jyoti-super-eco-village-indirapuram-ghaziabad,<10,<10,-,4.5
http://propertymap.info/project/express-garden-indirapuram-ghaziabad,<10,<10,-,2.5
http://propertymap.info/project/Officer-City-Indirapuram-Ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/Unitech-Air-Rajarhat-Kolkata,<10,<10,-,1.0
http://propertymap.info/builder/Vijaya Builders & Developers,<10,<10,-,1.0
http://propertymap.info/project/Niharika-Enclave-Panvel-Mumbai,<10,<10,-,1.0
http://propertymap.info/project/charms-castle-indirapuram-ghaziabad,<10,<10,-,7.3
http://propertymap.info/project/Nyati-Equatorial-Bavdhan-Pune,<10,<10,-,8.2
http://propertymap.info/builder/triveni-infrastructure,<10,<10,-,40
http://propertymap.info/project/Shubhkamna-Tech-Homes-Noida-Expressway-Noida,<10,<10,-,10
http://propertymap.info/builder/Pioneer Urban Land and Infrastructure Ltd,<10,<10,-,1.0
http://propertymap.info/project/antriksh-sanskriti-nh-24-ghaziabad,<10,<10,-,23
http://propertymap.info/project/Divya-Sree-Hub-6-OMR-IT-Corridor-Chennai,<10,<10,-,3.4
http://propertymap.info/project/Nyati-Eternity-NIBM-Kondwa-Pune,<10,<10,-,1.0
http://propertymap.info/builder/kgisl,<10,<10,-,1.0
http://propertymap.info/project/Artha-Grihasta-Sarjapura---ORR-Bangalore,<10,<10,-,8.8
http://propertymap.info/project/windsor-plaza-vasundhara-ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/officer-city-indirapuram-ghaziabad,<10,<10,-,1.0
http://propertymap.info/builder/International-Land-Developers-Ltd,<10,<10,-,1.0
http://propertymap.info/builder/Logix-Group,<10,<10,-,1.0
http://propertymap.info/builder/Shamdeo Developers & Builders,<10,<10,-,1.0
http://propertymap.info/project/Park-Elite-Floors-Sector-85-Faridabad,<10,<10,-,8.3
http://propertymap.info/project/Czar-Villlas-Omicron-1-Greater-Noida,<10,<10,-,1.0
http://propertymap.info/project/Urban-Space-NIBM-Kondwa-Pune,<10,<10,-,14
http://propertymap.info/project/Kumar-Windsor-Park-Panchgani-Pune,<10,<10,-,1.0
http://propertymap.info/project/Lodha-Codename-72-East-Bandra-West-Mumbai,<10,<10,-,1.0
http://propertymap.info/project/cosmos-golden-heights--crossing-republic-ghaziabad,<10,<10,-,11
http://propertymap.info/project/Gaurav-Eden-Dahisar-&-Beyond-Mumbai,<10,<10,-,1.0
http://propertymap.info/builder/Eldeco Infrastructure,<10,<10,-,1.0
http://propertymap.info/project/Mohan-Palms-Ambernath---Badlapur-Mumbai,<10,<10,-,1.0
http://propertymap.info/project/VVIP-Addresses-Raj-Nagar-Extn-Ghaziabad,<10,<10,-,8.4
http://propertymap.info/project/Pebblle-Court-Sector-128-Noida,<10,<10,-,1.0
http://propertymap.info/builder/JAMEEN BUILDERS & REALTORS,<10,<10,-,1.0
http://propertymap.info/project/Pristine-Royale-Aundh-Pune,<10,<10,-,1.0
http://propertymap.info/project/Shyam-Vihar-Phase-II-Jessore-Road-Kolkata,<10,<10,-,1.0
http://propertymap.info/project/Himalaya-Tanishq-Indirapuram-Ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/uniworld-gardens-sector-117-noida,<10,<10,-,1.0
http://propertymap.info/project/Sterling--Villa-Grande-Whitefield-Bangalore,<10,<10,-,21
http://propertymap.info/project/Divyansh-Fabio-Crossing-Republic-Ghaziabad,<10,<10,-,1.0
http://propertymap.info/project/Prestige-Parkview-Whitefield-Bangalore,<10,<10,-,1.0
http://propertymap.info/project/Keerthi-Gardenia-Whitefield-Bangalore,<10,<10,-,7.6
http://propertymap.info/project/SG-Grand-Indirapuram-Ghaziabad,<10,<10,-,11
http://propertymap.info/project/rg-residency-sector-120-noida,<10,<10,-,1.0
http://propertymap.info/project/highend-paradise-indirapuram-ghaziabad,<10,<10,-,2.4
http://propertymap.info/builder/JM Housing,<10,<10,-,1.0
http://propertymap.info/project/seven-lamps-new-gurgaon-gurgaon,<10,<10,-,20
http://propertymap.info/project/Rudra-Aqua-Casa-Sector-16-Greater-Noida,500,<10,-,29
http://propertymap.info/project/Mahagun-Mezzaria-Sector-78-Noida,170,<10,-,16
http://propertymap.info/project/Mahagun-Moderne-Sector-50-Noida,170,<10,-,27
http://propertymap.info/project/supertech-supernova-noida-expressway-noida,170,<10,-,13
http://propertymap.info/project/Supertech-Golf-Village-Yamuna-Expressway-Greater-Noida,170,<10,-,42
http://propertymap.info/project/red-apple-residency-rajnagar-extn-ghaziabad,170,<10,-,7.2
http://propertymap.info/project/Nirala-Aspire-Sector-16-Greater-Noida,150,<10,-,36
http://propertymap.info/project/mahagunpuram-nh-24-ghaziabad,150,<10,-,24
http://propertymap.info/project/Panchsheel-Greens-2-Noida-Extension-Noida,150,<10,-,31
http://propertymap.info/project/Supertech-New-Project-Noida-Noida-Extension-Noida,150,<10,-,31
http://propertymap.info/project/Supertech-Eco-Village-2-Noida-Extension-Noida,150,<10,-,54
http://propertymap.info/project/Mahagun-My-Woods-Noida-Extension-Noida,110,<10,-,50
http://propertymap.info/project/Shriram-Shankari-GST-Road-Chennai,110,<10,-,26
http://propertymap.info/project/Heart-Beat-City-Noida-Expressway-Noida,110,<10,-,15
http://propertymap.info/project/Sikka-Karmic-Greens-Sector-79-Noida,110,<10,-,19
http://propertymap.info/project/RG-Luxury-Homes-Noida-Extension-Noida,110,<10,-,19
http://propertymap.info/project/Mahagunpuram-NH-24-Ghaziabad,110,<10,-,26
